# KSW Arabic — FULL master glossary / جدول المصطلحات العربية الكامل
# راجع عمود proposed_ar وعدّله مباشرة حيث تريد صيغة مختلفة، ثم أعد الملف.
# status: changed = قرار مُدار | matched-core = مطابق لترجمة Odoo الرسمية
#         changed (auto) = تنظيف تلقائي (إزالة تشكيل/توحيد مفهوم) | unchanged = يبقى كما هو
# source: labour-law/ksa-hr/sap-oracle/odoo-core/unify/auto/keep-current
# ملاحظة: العبارات الطويلة (تلميحات/مساعدة/رسائل) تُعالَج آلياً ولا تظهر هنا.
term_en,current_ar,proposed_ar,status,source,modules,note
Dm Approved Date,تاريخ اعتماد المدير المباشر,تاريخ اعتماد المدير المباشر,unchanged,auto,deduction,
DM Approved On,تاريخ اعتماد المدير المباشر,تاريخ اعتماد المدير المباشر,unchanged,auto,annual_leave,
Doc Type,نوع المستند,نوع المستند,unchanged,auto,ext_sync,
Driver,السائق,السائق,unchanged,auto,commissions,
Driver Commission,عمولة السائق,عمولة السائق,unchanged,auto,commissions,
Driver Commission Amount,مبلغ عمولة السائق,مبلغ عمولة السائق,unchanged,auto,commissions,
Driver Commission Sheet,كشف عمولة السائق,كشف عمولة السائق,unchanged,auto,commissions,
Driver Commission Sheets,كشوف عمولات السائقين,كشوف عمولات السائقين,unchanged,auto,commissions,
Driver Commission — Monthly Summary,عمولة السائق — الملخص الشهري,عمولة السائق — الملخص الشهري,unchanged,auto,commissions,
Driver Commissions,عمولات السائقين,عمولات السائقين,unchanged,auto,commissions,
Driver Total,إجمالي السائق,إجمالي السائق,unchanged,auto,commissions,
Driver Trip Tally,إجمالي رحلات السائق,إجمالي رحلات السائق,unchanged,auto,commissions,
Driver's Commission,عمولة السائق,عمولة السائق,unchanged,auto,commissions,
Driver<br/>Commission,عمولة<br/>السائق,عمولة<br/>السائق,unchanged,auto,commissions,
Drivers,السائقون,السائقون,unchanged,auto,commissions,
Dual Threshold (sales% AND collection% both ≥ X%),حد مزدوج (نسبة المبيعات ونسبة التحصيل كلاهما ≥ X٪),حد مزدوج (نسبة المبيعات ونسبة التحصيل كلاهما ≥ X٪),unchanged,auto,commissions,
Duration (min),المدة (دقيقة),المدة (دقيقة),unchanged,auto,attendance_leave,
e.g. Sales — General,مثال: المبيعات — عام,مثال: المبيعات — عام,unchanged,auto,commissions,
Edit and Delete,تعديل وحذف,تعديل وحذف,unchanged,auto,deduction,
Edit only,تعديل فقط,تعديل فقط,unchanged,auto,deduction,
Editable Period,فترة قابلة للتعديل,فترة قابلة للتعديل,unchanged,auto,attendance_sheet,
Effective Start,بداية الاحتساب,بداية الاحتساب,unchanged,auto,annual_leave,
Effective Start Date,تاريخ بدء السريان,تاريخ بدء السريان,unchanged,auto,annual_leave,
Eid Al-Adha,عيد الأضحى,عيد الأضحى,unchanged,auto,commissions,
Eid Al-Fitr,عيد الفطر,عيد الفطر,unchanged,auto,commissions,
Employee + Client,الموظف + العميل,الموظف + العميل,unchanged,auto,commissions,
Employee Advance,سلفة موظف,سلفة موظف,unchanged,auto,ext_sync,
Employee Advances,سلف الموظفين,سلف الموظفين,unchanged,auto,ext_sync,
Employee Bonus,مكافأة موظف,مكافأة موظف,unchanged,auto,commissions,
Employee category,فئة الموظف,فئة الموظف,unchanged,auto,base_security,
Employee Information,بيانات الموظف,بيانات الموظف,unchanged,auto,payroll,
Employee's Total This Month,إجمالي الموظف هذا الشهر,إجمالي الموظف هذا الشهر,unchanged,auto,deduction,
Employee-specific,خاص بموظف,خاص بموظف,unchanged,auto,commissions,
End of Service Request,طلب مكافأة نهاية الخدمة,طلب مكافأة نهاية الخدمة,unchanged,auto,eos_leave,
End-of-Service Data (Saudi Art. 84–88),بيانات نهاية الخدمة (المواد السعودية 84-88),بيانات نهاية الخدمة (المواد السعودية 84-88),unchanged,auto,payroll,
EOS Amount,مكافأة نهاية الخدمة,مكافأة نهاية الخدمة,unchanged,auto,eos_leave,
EOS Payout Amount,مبلغ مكافأة نهاية الخدمة,مبلغ مكافأة نهاية الخدمة,unchanged,auto,eos_leave,
EOS Payout Summary,ملخص مكافأة نهاية الخدمة,ملخص مكافأة نهاية الخدمة,unchanged,auto,eos_leave,
EOS Previous Payments,مدفوعات نهاية الخدمة السابقة,مدفوعات نهاية الخدمة السابقة,unchanged,auto,eos_leave,
EOS — Resignation (Art. 85),نهاية الخدمة — استقالة (المادة 85),نهاية الخدمة — استقالة (المادة 85),unchanged,auto,deduction,
EOS — Termination (Art. 84),نهاية الخدمة — إنهاء عقد (المادة 84),نهاية الخدمة — إنهاء عقد (المادة 84),unchanged,auto,deduction,
Exceeds Annual Balance,يتجاوز الرصيد السنوي,يتجاوز الرصيد السنوي,unchanged,auto,annual_leave,
Exclude VAT (÷ 1.15),استبعاد ضريبة القيمة المضافة (÷ 1.15),استبعاد ضريبة القيمة المضافة (÷ 1.15),unchanged,auto,commissions,
Export Bank File,تصدير ملف بنكي,تصدير ملف بنكي,unchanged,auto,"commissions,payroll",
Export Mode,نمط التصدير,نمط التصدير,unchanged,auto,"commissions,payroll",
Extra Days,أيام إضافية,أيام إضافية,unchanged,auto,annual_leave,
Finalise,إنهاء,إنهاء,unchanged,auto,commissions,
Financial Consideration Description,وصف المقابل المالي,وصف المقابل المالي,unchanged,auto,unpaid_leave,
Financial Items,البنود المالية,البنود المالية,unchanged,auto,payroll,
Financials,المالية,المالية,unchanged,auto,deduction,
Fingerprint Employees,موظفو البصمة,موظفو البصمة,unchanged,auto,attendance_sheet,
Flight Ticket,تذكرة السفر,تذكرة السفر,unchanged,auto,annual_leave,
Flight Ticket Allowance,بدل تذكرة الطيران,بدل تذكرة الطيران,unchanged,auto,payroll,
Flight Ticket Amount,مبلغ تذكرة الطيران,مبلغ تذكرة الطيران,unchanged,auto,annual_leave,
Flight Ticket Description,وصف تذكرة الطيران,وصف تذكرة الطيران,unchanged,auto,annual_leave,
Force Majeure (Art. 87),القوة القاهرة (المادة 87),القوة القاهرة (المادة 87),unchanged,auto,deduction,
Foundation Day,يوم التأسيس,يوم التأسيس,unchanged,auto,commissions,
Friday Work Allowance,بدل العمل يوم الجمعة,بدل العمل يوم الجمعة,unchanged,auto,commissions,
From %,من ٪,من ٪,unchanged,auto,commissions,
From Account,من الحساب,من الحساب,unchanged,auto,ext_sync,
Full Clearance,تصفية رصيد كاملة,تصفية رصيد كاملة,unchanged,auto,annual_leave,
Full Refund - أستراد كامل المبلغ,استرداد كامل المبلغ,استرداد كامل المبلغ,unchanged,auto,payroll,
General (default),عام (افتراضي),عام (افتراضي),unchanged,auto,commissions,
General Manager (Final),المدير العام (نهائي),المدير العام (نهائي),unchanged,auto,unpaid_leave,
General Manager (Initial),المدير العام (أولي),المدير العام (أولي),unchanged,auto,unpaid_leave,
Generate / Refresh All,إنشاء / تحديث الكل,إنشاء / تحديث الكل,unchanged,auto,annual_leave,
GM,المدير العام,المدير العام,unchanged,auto,deduction,
GM (Final),المدير العام (نهائي),المدير العام (نهائي),unchanged,auto,annual_leave,
GM (Initial),المدير العام (أولي),المدير العام (أولي),unchanged,auto,annual_leave,
Gm Approved By,اعتمده المدير العام,اعتمده المدير العام,unchanged,auto,deduction,
Gm Approved Date,تاريخ اعتماد المدير العام,تاريخ اعتماد المدير العام,unchanged,auto,deduction,
GM Final Approval,الاعتماد النهائي من المدير العام,الاعتماد النهائي من المدير العام,unchanged,auto,deduction,
GM Final Approved On,تاريخ الاعتماد النهائي للمدير العام,تاريخ الاعتماد النهائي للمدير العام,unchanged,auto,annual_leave,
GM Initial Approved On,تاريخ الاعتماد الأولي للمدير العام,تاريخ الاعتماد الأولي للمدير العام,unchanged,auto,annual_leave,
Gm Original Amount,المبلغ الأصلي (المدير العام),المبلغ الأصلي (المدير العام),unchanged,auto,deduction,
Gm Original Installments,الأقساط الأصلية (المدير العام),الأقساط الأصلية (المدير العام),unchanged,auto,deduction,
Government Penalty,غرامة حكومية,غرامة حكومية,unchanged,auto,deduction,
Grant commission exception (Sales Manager),منح استثناء العمولة (مدير المبيعات),منح استثناء العمولة (مدير المبيعات),unchanged,auto,commissions,
Gross Salary,الراتب الإجمالي,الراتب الإجمالي,unchanged,auto,deduction,
Gross Total,الإجمالي قبل الخصم,الإجمالي قبل الخصم,unchanged,auto,commissions,
Gross<br/>Total,الإجمالي<br/>قبل الخصم,الإجمالي<br/>قبل الخصم,unchanged,auto,commissions,
Has Opening Reset Date,له تاريخ إعادة ضبط افتتاحي,له تاريخ إعادة ضبط افتتاحي,unchanged,auto,annual_leave,
Holiday,العطلة,العطلة,unchanged,auto,commissions,
Holiday Bonus,بدل العطلة,بدل العطلة,unchanged,auto,commissions,
Hourly Rate,المعدل الساعي,المعدل الساعي,unchanged,auto,payroll,
HR,الموارد البشرية,الموارد البشرية,unchanged,auto,"annual_leave,deduction",
HR Approval,اعتماد الموارد البشرية,اعتماد الموارد البشرية,unchanged,keep-current,deduction,سجل «اعتماد» (الأساسي: موافقة)
HR Approved By,اعتمدته الموارد البشرية,اعتمدته الموارد البشرية,unchanged,auto,annual_leave,
Hr Approved By,اعتمدته الموارد البشرية,اعتمدته الموارد البشرية,unchanged,auto,deduction,
Hr Approved Date,تاريخ اعتماد الموارد البشرية,تاريخ اعتماد الموارد البشرية,unchanged,auto,deduction,
HR Approved On,تاريخ اعتماد الموارد البشرية,تاريخ اعتماد الموارد البشرية,unchanged,auto,annual_leave,
HR Confirmed On,تاريخ تأكيد الموارد البشرية,تاريخ تأكيد الموارد البشرية,unchanged,auto,annual_leave,
HR Department,قسم الموارد البشرية,قسم الموارد البشرية,unchanged,auto,deduction,
HR Inputs,مدخلات الموارد البشرية,مدخلات الموارد البشرية,unchanged,auto,"eos_leave,unpaid_leave",
HR Leave Manager,مدير إجازات الموارد البشرية,مدير إجازات الموارد البشرية,unchanged,auto,leave_approval,
HR Officer (Non-Loan),مسؤول موارد بشرية (غير قروض),مسؤول موارد بشرية (غير قروض),unchanged,auto,deduction,
HRA,بدل السكن,بدل السكن,unchanged,auto,base_security,
Identification,الهوية,الهوية,unchanged,auto,commissions,
Import from Excel,استيراد من Excel,استيراد من Excel,unchanged,auto,commissions,
Import Sales & Collection from Excel,استيراد المبيعات والتحصيل من Excel,استيراد المبيعات والتحصيل من Excel,unchanged,auto,commissions,
Installment Amount,قيمة القسط,قيمة القسط,unchanged,auto,deduction,
Installment Lines,الأقساط,الأقساط,unchanged,auto,deduction,
Installment Schedule,جدول الأقساط,جدول الأقساط,unchanged,auto,deduction,
Installments,الأقساط,الأقساط,unchanged,auto,deduction,
Internal notes…,ملاحظات داخلية…,ملاحظات داخلية…,unchanged,auto,commissions,
Iqama Renewal Amount,مبلغ تجديد الإقامة,مبلغ تجديد الإقامة,unchanged,auto,annual_leave,
Iqama Renewal Description,وصف تجديد الإقامة,وصف تجديد الإقامة,unchanged,auto,annual_leave,
Is Absent,غائب,غائب,unchanged,auto,attendance_leave,
Is Annual Leave,إجازة سنوية,إجازة سنوية,unchanged,auto,annual_leave,
Is Annual Leave Type,نوع إجازة سنوية,نوع إجازة سنوية,unchanged,auto,annual_leave,
Is EOS Leave,طلب نهاية خدمة,طلب نهاية خدمة,unchanged,auto,eos_leave,
